TopicID,count(*)
0,15
1,8
2,12
3,10
4,7
5,5
6,5
7,6
8,5
9,7
10,2
11,5
12,8
13,1
14,14
15,6
16,1
18,69
19,1
20,18
21,11
22,21
23,6
24,12
25,16
27,18
28,57
29,2
30,4
31,52
32,3
33,11
34,7
35,6
36,6
37,8
38,2
39,6
40,21
41,15
42,1
43,1
44,3
45,3
46,1
47,6
48,28
49,7
50,5
51,4
52,3
53,16
54,2
55,11
56,14
57,9
58,5
59,14
60,15
61,25
62,4
63,5
64,10
65,9
67,27
68,3
69,20
70,4
71,10
72,18
73,3
74,16
75,25
76,8
77,3
78,8
79,3
80,3
81,6
82,6
83,2
84,13
85,11
86,13
87,1
88,9
89,9
90,2
91,14
92,9
93,7
94,6
95,30
96,6
97,24
98,16
99,15
