TopicID,count(*)
0,4602
1,2787
2,3940
3,1508
4,3565
5,768
6,1934
7,2885
8,2979
9,2621
10,1203
11,1586
12,2429
13,2163
14,3109
15,2261
16,759
17,1590
18,14777
19,2031
20,3538
21,1328
22,2624
23,2427
24,3621
25,2165
26,1965
27,1940
28,10126
29,630
30,1895
31,11449
32,997
33,1156
34,1578
35,1936
36,3091
37,2661
38,524
39,2543
40,2422
41,4264
42,2266
43,987
44,3877
45,1376
46,1027
47,1458
48,7028
49,952
50,1913
51,1707
52,1608
53,2329
54,832
55,1400
56,2097
57,1633
58,863
59,1463
60,5254
61,3898
62,874
63,1248
64,2874
65,1798
66,1005
67,3061
68,1597
69,2885
70,2706
71,2227
72,2328
73,1356
74,1641
75,5575
76,1832
77,1432
78,1566
79,1170
80,1279
81,2651
82,1642
83,1562
84,1910
85,2893
86,1302
87,2483
88,2158
89,1349
90,798
91,2084
92,2140
93,1996
94,2948
95,2017
96,3677
97,2756
98,2687
99,4774
